,names,labels
62,astronaut,0
63,astronaut,0
64,astronaut,0
65,astronaut,0
66,astronaut,0
67,astronaut,0
68,astronaut,0
69,astronaut,0
70,astronaut,0
71,astronaut,0
203,castle,0
204,castle,0
205,castle,0
206,castle,0
207,castle,0
208,castle,0
209,castle,0
210,castle,0
211,castle,0
212,castle,0
42,ice_cream,0
43,ice_cream,0
44,ice_cream,0
45,ice_cream,0
46,ice_cream,0
47,ice_cream,0
48,ice_cream,0
49,ice_cream,0
50,ice_cream,0
51,ice_cream,0
213,pyramid,0
214,pyramid,0
215,pyramid,0
216,pyramid,0
217,pyramid,0
218,pyramid,0
219,pyramid,0
220,pyramid,0
221,pyramid,0
222,pyramid,0
122,blindness,1
123,blindness,1
124,blindness,1
125,blindness,1
126,blindness,1
127,blindness,1
128,blindness,1
129,blindness,1
130,blindness,1
131,blindness,1
141,bone_fracture,1
142,bone_fracture,1
143,bone_fracture,1
144,bone_fracture,1
145,bone_fracture,1
146,bone_fracture,1
147,bone_fracture,1
148,bone_fracture,1
149,bone_fracture,1
150,bone_fracture,1
151,bone_fracture,1
72,computer_graphics,1
73,computer_graphics,1
74,computer_graphics,1
75,computer_graphics,1
76,computer_graphics,1
77,computer_graphics,1
78,computer_graphics,1
79,computer_graphics,1
80,computer_graphics,1
81,computer_graphics,1
152,infection,1
153,infection,1
154,infection,1
155,infection,1
156,infection,1
157,infection,1
158,infection,1
159,infection,1
160,infection,1
161,infection,1
173,painter,1
174,painter,1
175,painter,1
176,painter,1
177,painter,1
178,painter,1
179,painter,1
180,painter,1
181,painter,1
182,painter,1
102,stress,1
103,stress,1
104,stress,1
105,stress,1
106,stress,1
107,stress,1
108,stress,1
109,stress,1
110,stress,1
111,stress,1
112,tuxedo,1
113,tuxedo,1
114,tuxedo,1
115,tuxedo,1
116,tuxedo,1
117,tuxedo,1
118,tuxedo,1
119,tuxedo,1
120,tuxedo,1
121,tuxedo,1
1,beekeeping,2
2,beekeeping,2
3,beekeeping,2
4,beekeeping,2
5,beekeeping,2
6,beekeeping,2
7,beekeeping,2
8,beekeeping,2
9,beekeeping,2
10,beekeeping,2
11,beekeeping,2
32,hurricane,2
33,hurricane,2
34,hurricane,2
35,hurricane,2
36,hurricane,2
37,hurricane,2
38,hurricane,2
39,hurricane,2
40,hurricane,2
41,hurricane,2
52,lawn_mower,2
53,lawn_mower,2
54,lawn_mower,2
55,lawn_mower,2
56,lawn_mower,2
57,lawn_mower,2
58,lawn_mower,2
59,lawn_mower,2
60,lawn_mower,2
61,lawn_mower,2
183,owl,2
184,owl,2
185,owl,2
186,owl,2
187,owl,2
188,owl,2
189,owl,2
190,owl,2
191,owl,2
192,owl,2
193,polar_bear,2
194,polar_bear,2
195,polar_bear,2
196,polar_bear,2
197,polar_bear,2
198,polar_bear,2
199,polar_bear,2
200,polar_bear,2
201,polar_bear,2
202,polar_bear,2
223,rock_climbing,2
224,rock_climbing,2
225,rock_climbing,2
226,rock_climbing,2
227,rock_climbing,2
228,rock_climbing,2
229,rock_climbing,2
230,rock_climbing,2
231,rock_climbing,2
232,rock_climbing,2
233,rock_climbing,2
0,skiing,2
234,skiing,2
235,skiing,2
236,skiing,2
237,skiing,2
238,skiing,2
239,skiing,2
240,skiing,2
241,skiing,2
242,skiing,2
22,gambling,3
23,gambling,3
24,gambling,3
25,gambling,3
26,gambling,3
27,gambling,3
28,gambling,3
29,gambling,3
30,gambling,3
31,gambling,3
82,law_school,3
83,law_school,3
84,law_school,3
85,law_school,3
86,law_school,3
87,law_school,3
88,law_school,3
89,law_school,3
90,law_school,3
91,law_school,3
162,opera,3
163,opera,3
164,opera,3
165,opera,3
166,opera,3
167,opera,3
168,opera,3
169,opera,3
170,opera,3
171,opera,3
172,opera,3
92,pharmacist,3
93,pharmacist,3
94,pharmacist,3
95,pharmacist,3
96,pharmacist,3
97,pharmacist,3
98,pharmacist,3
99,pharmacist,3
100,pharmacist,3
101,pharmacist,3
12,dreams,4
13,dreams,4
14,dreams,4
15,dreams,4
16,dreams,4
17,dreams,4
18,dreams,4
19,dreams,4
20,dreams,4
21,dreams,4
132,taste,4
133,taste,4
134,taste,4
135,taste,4
136,taste,4
137,taste,4
138,taste,4
139,taste,4
140,taste,4
